Name;Code;Assortment;Color;Article;Description;tech;cylinder sizes;Brands;Completeness;Product group;Nomenclature group;Designation;Country;Mounting type;Type of mechanism;Cylinder type;B2B website page;Price;Currency;Unit
Mottura Art. 96093/I D ограничитель;10295;Заказной;Хром полированный;96093/I D;Обмежувач Mottura Art. 96093/I D;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;;;;https://b2b.polyserv.com.ua/catalog/318;26,100;EUR;шт
Mottura Art. 98AF457 Порошковая смазка;33103;Заказной;Нержавеющая сталь;98AF457;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;<>;Италия;;;;;6,000;EUR;шт
Mottura Art. 98AF585 Порошковая смазка;39716;Заказной;Нержавеющая сталь;98AF585;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;<>;Италия;;;;;12,750;EUR;шт
Mottura Art. 99501OT0C бронза Кноб для 45.750/1170/1200;24992;Заказной;Бронза;99501OT0C Bronze;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Кноб;Италия;;;;https://b2b.polyserv.com.ua/catalog/3105;35,250;EUR;шт
Mottura Art. 99501OT0C лат. Кноб для 45.750/1170/1200;4738;Заказной;Латунь полированная;99501OT0C;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Кноб;Италия;;;;https://b2b.polyserv.com.ua/catalog/332;35,250;EUR;шт
Mottura Art. 99502OT0C лат. кноб с пружиной для 36.255/256/265/266;4739;Заказной;Латунь полированная;99502OT0C;Mottura Art. 99502OT0C латунь Кноб з пружиною для 36.255/256/265/266;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Кноб;Италия;;;;https://b2b.polyserv.com.ua/catalog/333;41,450;EUR;шт
Mottura Art. 99504CR хром. кноб с пружиной для замков серии 62;10294;Заказной;Хром полированный;99504CR;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Кноб;Италия;;;;https://b2b.polyserv.com.ua/catalog/334;77,050;EUR;шт
Mottura Art. 99505 Вертушок на секрет со стикером мат золото;26693;Заказной;Золото матовое;99505;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;;;;https://b2b.polyserv.com.ua/catalog/8524;16,950;EUR;шт
Mottura Art. 99505P Вертушок на секрет золото;26692;Заказной;Золото;99505P;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;;;;https://b2b.polyserv.com.ua/catalog/8523;18,450;EUR;шт
Mottura Art. 94.1121 Прокладка под броненакладку 3D;57543;Заказной;Нержавеющая сталь;94.1121;Mottura Art. 94.1121 прокладка під броненакладку 3D;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/4106;1,750;EUR;шт
Mottura Art. 9411100 Прокладка под броненакладку Defender 2,5mm;6145;Заказной;Оцинкованный;9411108;Mottura Art. 9411100 Прокладка під броненакладку Defender 2,5mm;;34*18*11;Mottura;Прокладка под броненакладку Defender 2,5mm;аксессуары для входных дверей;Замки Mottura;Прокладка;Италия;Врезной;;;https://b2b.polyserv.com.ua/catalog/255;1,100;EUR;шт
Mottura Art. 9411100/1 Прокладка под броненакладку Defender 1mm;6146;Заказной;Черный;9411108/1;Прокладка під броненакладку Mottura Art. 9411100/1, для Defender, товщина 1мм;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Прокладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/256;1,100;EUR;шт
Mottura Art. 9411500N (9411625N) Броненакладка Defender д.50мм, черная;6682;Заказной;Черный матовый;9411500N;<h3><span>Врізна броненакладка Mottura Basic</span></h3> <p><span>Врізна броненакладка призначена для встановлення на циліндрові замки для захисту циліндрових механізмів від таких атак, як перелом, розрив, свердління та подібних.< /span></p> <p><span>Встановлюється шляхом кріплення двома гвинтами безпосередньо до замку. Або стягується наскрізь через замок із внутрішньою накладкою. При цьому у внутрішній накладці різьбові втулки обрізаються так, щоб вони були притягнуті до замку. </span><span>Захисні накладки Defender® basic </span>мають захисні шайби на ключовому отворі, що захищають циліндр від висвердлювання та вибивання. Сталеві сфери для захисту кріпильних гвинтів. Дані накладки можна використовувати з більшістю замків із європейським циліндровим механізмом.</p>;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/257;35,600;EUR;шт
Mottura Art. 9411500P (9411625P) Броненакладка Defender д.50мм, золото;6519;Заказной;Золото;9411500P;<h3>Врізна броненакладка Mottura Basic</h3> <p>Врізна броненакладка призначена для установки на циліндрові замки для захисту циліндрових механізмів від таких атак, як перелом, розрив, свердління і подібних.</p> <p>Встановлюється шляхом кріплення двома гвинтами безпосередньо до замку. Або стягується наскрізь через замок з внутрішньої накладкою. При це у внутрішньої накладки різьбові втулки обрізають так, щоб вони були притягнуті до замку. Захисні накладки Defender® basic мають захисні шайби на ключовому отворі, що захищають циліндр від висвердлювання і вибивання. Сталеві сфери для захисту кріпильних гвинтів. Дані накладки можна використовувати з більшістю замків з європейським циліндровим механізмом.</p>;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/258;41,800;EUR;шт
